Municipality,Latitude,Longitude
Colonia (Weloy & Rull),9.5162421,138.1216290
Dublon (Tonoas/Etten),7.3768,151.875
Ettal (Etal),5.5910966,153.5832681
Fananu,8.5917253,152.0984602
Fanapanges (Fala-Beguets),7.3544,151.6666
Fanif,9.5633,138.1115
Fefen,7.3417,151.844
Gagil,9.5458,138.1641
Houk (Pulusuk),6.6886,149.3021
Ifalik,7.2511,144.4558
Kitti,6.8535,158.1949
Kolonia,6.9641,158.2087
Lekinoch (Lukunor),5.5064,153.8194
Lelu (Tofol),5.3279,163.0028
Maap,9.5943,138.166
Madolenihmw,6.8654,158.2725
Malem,5.2807,163.0145
Moch,7.51427,151.96706
Nema (Nama),6.9926,152.5752
Nett,6.9281,158.2258
Nomwin,8.526,151.7308
Onoun (Ulul),8.5867,149.6862
Paata,7.3747,151.5855
Palikir (Sokehs),6.9407,158.1468
Pollap (Pulap),7.6378,149.4283
Polle,7.3386,151.5851
Polowat (Poluwat),7.3634,149.1853
Romanum,7.411,151.67
Satawal,7.8838,147.1481
Satowan (Satawan),5.3284,153.7348
Tafunsak,5.3313,162.9602
Tamatam,7.5901,149.4204
Tol,7.3382,151.6202
Tomil,9.5359,138.149
U (Uh),6.9462,158.2745
Udot,7.3792,151.7194
Ulithi,9.9614,139.6019
Uman,7.3008,151.8812
Utwe,5.2807,162.9636
Weno (Moen),7.4423,151.8588
Woleai,7.356,143.8708
Wonei,7.3716,151.6185
